 10.50,  0.00,  0.00,  0.00,  0.00
  1.00,  0.00,  0.00,  0.00,  0.00
 15.50,  0.00,  0.00, 15.00,  0.60
  4.50,  0.00,  0.00,  0.70,  0.00
  2.00,  0.00,  0.00,  0.70,  0.00
  0.00,  0.00,  0.00, 32.10,  0.40
  0.00,  0.00,  0.00,  0.00,  0.20
  6.00,  5.50,  0.00,  3.10,  0.00
 14.50,  4.00,  0.00,  0.00,  0.00
  1.50,  0.00,  0.00,  0.00,  0.00
  0.00,  0.00,  0.00, 22.50,  0.00
 20.50,  0.50,  1.50,  4.50,  0.10
 11.00,  0.30,  2.00,  3.00,  6.30
  0.00, 11.50,  5.00,  0.00,  8.50
  0.00,  0.00,  0.00,  2.50,  1.50
  0.50,  0.00,  0.00,  0.00,  0.50
  0.00,  0.00,  0.00, 33.50,  0.00
  0.00,  0.00,  0.00,  0.20,  0.00
  0.00,  0.00,  0.00,  9.50,  0.10
  0.00,  0.00,  0.00,  6.00,  1.80
  0.00,  0.00,  0.50, 14.70,  0.00
  0.00,  0.00,  0.00, 33.00,  0.00
  0.00,  0.00,  0.00, 36.50,  0.00
  0.00,  0.00,  0.00,  6.00,  0.00
  0.00,  0.00,  0.00,  0.00,  0.00
  0.50,  0.00,  1.00,  0.00,  0.00
  5.00,  0.00, 10.00,  0.00,  0.00
  0.00,  0.00,  0.00,  2.10,  1.80
  0.00,  0.00,  0.00, 21.50,  0.00
  0.00,  0.00,  0.00,  8.90,  0.00
  0.00,  0.00,  0.00,  0.00,  0.00
  0.00,  0.00,  0.00, 14.00,  0.00
  0.00,  0.00,  0.00, 11.00,  0.00
  0.00,  0.00,  3.50,  1.50,  0.00
  0.00,  1.50,  3.00,  4.50,  0.00
  0.00, 11.00,  4.00,  6.20,  0.00
  0.00,  0.50,  1.00,  0.00,  0.00
  1.00,  2.00,  0.00,  0.00,  0.00
  0.00, 14.50,  3.50,  0.00,  0.00
  0.00, 84.50,  0.50,  0.00,  3.50
  0.00,  7.00,  0.00,  0.00,  0.00
  0.00,  3.50,  0.00,  0.00,  0.00
  0.00, 17.50,  0.00,  0.00,  0.00
  0.00, 17.00,  0.00,  0.00,  0.00
  0.00, 11.50,  0.00,  6.30,  0.00
  0.50,  0.00,  4.00,  0.60,  0.00
  0.00,  0.50, 10.50,  0.20,  0.00
  0.00,  0.00,  0.00,  4.00,  0.00
  0.00,  5.00,  0.00,  9.00,  0.00
  0.00, 22.00,  0.00,  0.20,  0.00
  0.00,  0.00,  0.00,  0.20,  1.00
  0.40,  0.00,  0.00,  0.00,  0.00
  2.50,  0.00,  2.50,  0.00, 21.10
  0.00,  0.00,  0.00,  3.20,  0.60
  0.00,  0.00, 55.50,  3.00, 44.20
  0.00,  0.00,  0.00,  0.50, 37.00
  0.00,  0.00,  0.00,  4.00, 15.50
 30.00,  0.00,  2.00, 10.50,  0.00
  0.00,  0.00,  0.00,  0.00,  0.80
  1.40,  0.00,  2.00,  0.00,  2.30
  0.60,  3.50,  0.00,  0.00,  0.00
  0.00,  9.50,  0.00,  0.00,  0.00
  0.00, 10.00,  1.00,  0.00,  0.00
  0.00, 12.00,  1.50,  0.00,  0.00
  0.00, 10.00,  4.50,  0.00, 25.80
  0.00, 13.50,  0.50,  0.00,  9.60
  0.00, 13.00,  0.00,  0.00,  2.00
  0.00,  6.00,  0.00,  0.80,  1.30
  0.00,  0.00, 11.50, 20.30, 32.50
  0.00,  0.00, 36.50, 45.00,  1.50
  0.00, 10.50, 10.50, 18.70,  0.00
  1.50, 21.50,  0.00,  6.50, 14.20
  0.00,  0.00,  0.00, 39.70,  5.90
  0.00,  0.00,  0.00, 10.70,  0.00
  0.00,  0.00,  0.00, 12.60, 19.00
  0.00,  0.00,  0.00,  7.50,  2.00
